(奉俊昊, 执导, 寄生虫)
(欢乐满人间, 讲述, 化身为保姆的仙女玛丽来到人间|帮助重新获得生活的乐趣)
(欢乐满人间, 让, 重享天伦之乐的故事|1)
(希腊人佐巴, 上映, 电影)
(希腊人佐巴, 主演, 安东尼·奎恩)
(托尼·理查德森, 执导, 汤姆·琼斯)
(阿尔伯特·芬尼|苏珊娜·约克休·格里夫斯主演的爱情片, 上映, 汤姆·琼斯)
(汤姆·琼斯, 改编自, 英国作家亨利·菲尔汀的同名小说)
(英国, 作家, 亨利·菲尔汀)
(汤姆·琼斯, 获得, 第36届奥斯卡金像奖最佳影片奖)
( 美国，美国, 讲述, 希腊男孩在土耳其的生活充满了难堪|与迫害|千里迢迢移民美国的|追寻梦想故事)
(乔洛·比萨尼, 执导, 埃及艳后2007年上映的剧情类巴西电影)
(JosiAntelloMiguelFalabella|TaumaturgoFerreira, 主演, 埃及艳后2007年上映的剧情类巴西电影)
(约翰·福特, 执导, 西部开拓史1962年11月1日上映的一部电影)
(周军峰|杜波, 执导, 野百合)
(大卫·里恩, 执导, 阿拉伯的劳伦斯)
(阿拉伯的劳伦斯, 为, 背景)
(阿拉伯的劳伦斯, 讲述, 英国陆军情报官劳伦斯带领炸毁铁路|成功使维系在一起的故事)
(英国陆军, 情报官, 劳伦斯)
(阿拉伯的劳伦斯, 获得, 第35届奥斯卡奖最佳影片奖|第20届美国金球奖剧情类最佳影片奖等奖项1-2)
(阿拉伯的劳伦斯, 位列, 第一位|3)
(阿拉伯的劳伦斯, 位列, 第一位|3)
(JeffBleckner, 执导, 欢乐音乐妙无穷)
(马修·布罗德里克等|克里斯汀·肯诺恩斯维克托·加柏出演的美国爱情喜剧片, 上映, 欢乐音乐妙无穷)
(米高梅, 出品, 叛舰喋血记)
(弗兰克·洛伊德, 执导, 叛舰喋血记)
(叛舰喋血记, 讲述在, 邦蒂号军舰上)
(罗伯特·马利根, 执导, 杀死一只知更鸟)
(罗伯特·怀斯, 执导, 西区故事)
(娜塔利·伍德等|理查德·贝梅尔主演的剧情片, 上映, 西区故事)
(西区故事, 改编自, 同名百老汇经典音乐剧)
(另一个首领, 妹妹, 玛丽亚)
(西区故事, 获得, 第34届美国奥斯卡金像奖包括最佳影片在内10项奖项|3)
(春江花月夜有关狐族的奇幻设定, 改编, 自同名小说|2)
(纳瓦隆大炮, 为, 背景)
(纳瓦隆大炮, 讲述, 盟军组成一队包括爆破专家等|攀岩专家高手的六人突击队)
(纳瓦隆大炮, 令, 意想不到的战术突破德军控制的爱琴海上一个高山峭壁碉堡)
(江湖浪子一部于1961年上映的美国剧情片, 改编, 自沃尔特·特维斯的同名小说)
(江湖浪子, 讲述, 以桌球赌博为生的年轻职业球手艾迪被对手击败后引发的一系列故事)
(纽伦堡的审判, 透过, 人物的言行)
(纽伦堡的审判, 揭示, 国际政治舞台上的矛盾冲突)
(纽伦堡的审判, 试图, 告诉谁应对纳粹的罪行负责)
(纽伦堡大审判, 荣获, 1961年第34届奥斯卡奖最佳男主角奖|及最佳改编剧本奖)
(孽海痴魂, 讲述, 莎朗·法康纳修女与投机取巧分子艾尔默·甘特里相恋|相杀)
(孽海痴魂, 使, 因而离弃他们的故事)
(杰克·卡迪夫, 执导, 儿子与情人1960年8月2日上映的英国剧情电影)
(性爱小说, 父, 劳伦斯)
(其母葛楚, 转向, 儿子寻求爱的寄托|情感超过了正常的母爱)
(儿子, 寻求, 爱的寄托)
(宾虚, 改编, 同名长篇小说)
(宾虚, 改编自, 卢·华莱士的)
(宾虚, 讲述, 罗马指挥官玛瑟拉之间的爱恨情仇|及其反抗罗马帝国压迫故事)
(罗马, 指挥官, 玛瑟拉)
( 宾虚, 获, 1960年第32届奥斯卡金像奖最佳影片最佳导演等奖项|2)
(桃色血案, 讲述, 一名陆军中尉在极度愤恨之余枪杀了强奸他妻子的酒馆老板)
(安妮, 日记, 乔治·史蒂文斯)
(这本, 日记, 安妮)
(她, 吐露, 与母亲不断发生冲突的困惑的|以及对性好奇)
(弗雷德·金尼曼, 执导, 修女传)
(金屋泪, 讲述, 决心|与大企业家的女儿苏珊恋爱并使怀孕|如愿以偿|进入上流社会的故事)
(大企业家, 女儿, 苏珊)
(文森特·明奈利, 执导, 金粉世界米高梅电影公司制作的歌舞爱情片)
(莱斯利·卡伦|路易斯·乔丹莫里斯·切瓦力亚, 主演, 金粉世界米高梅电影公司制作的歌舞爱情片)
(法国, 女作家, 柯莱特)
(金粉世界, 讲述, 活泼的|调皮天真烂漫小姑娘琪琪|与富有的商人加斯顿冲破悬殊的阻碍终成眷属的故事|1)
(莫顿·达考斯塔, 执导, 欢乐梅姑)
(欢乐梅姑, 讲述, 一位以享乐为人生目标的中年妇女梅姑为生活只得应征各种职业闹的|出连串笑话故事)
(朱门巧妇, 描述, 出身贫寒的南部地主身患重病不久带着各自的妻子|参加他六十五岁的生日聚会由此发生的一系列故事|2)
(斯坦利克雷默, 执导, 逃狱惊魂)
(逃狱惊魂, 讲述, 一辆囚车上的黑人卡尔林与一个白人杰克逊一起逃亡的过程)
(大卫·尼文|黛博拉·蔻儿温蒂·希勒伯特·兰卡斯特丽塔·海华斯, 主演, 鸳鸯谱德尔伯特·曼执导的剧情片)
(鸳鸯谱, 讲述, 短短的一天一夜)
(大卫·利恩, 执导, 桂河大桥哥伦比亚电影公司出品的战争片)
(桂河大桥, 讲述, 二战时期英国军官被迫为日军建造桂河大桥)
(桂河大桥, 阻止, 大桥被英国特遣队炸毁的故事)
(二战时期英国军官, 为, 建造桂河大桥)
(桂河大桥, 获得, 第30届奥斯卡奖最佳影片等|第15届金球奖剧情类最佳影片奖项|1-2)
(冷暖人间一部国产电视剧, 开始, 拍摄)
(乔舒亚·洛根, 执导, 樱花恋)
(马龙·白兰度等|高美以子主演的爱情片, 上映, 樱花恋)
(樱花恋, 讲述, 发生在朝鲜战争期间|美国空军少校洛伊|和日本舞女花丛之间的爱情故事|1)
(美国空军, 少校, 洛伊)
(美国空军, 少校, 洛伊)
(美国联美电影公司, 发行, 控方证人)
(比利·怀尔德, 执导, 控方证人由美国联美电影公司发行的惊悚剧情片)
(泰隆·鲍华|玛琳·黛德丽查尔斯·劳顿, 领衔, 控方证人由美国联美电影公司发行的惊悚剧情片)
(控方证人, 讲述, 英国刑辩律师为谋杀罪嫌疑人辩护的故事|1)
(环游世界八十天, 讲述, 主人公福特|和朋友打赌|要在80天内环游|地球一周回到伦敦)
(四海一家, 讲述, 杰西的大儿子乔许为保疆卫土而投入战场|却面临了杀人与否抉择|心切决定深入战区|探视却陷入惊心动魄的危机的故事)
(杰西, 的大儿子, 乔许)
(杰西的大儿子乔许, 投入, 战场)
(乔治·史蒂文斯, 执导, 巨人传)
(伊丽莎白等|泰勒罗克·赫德森詹姆斯·迪恩主演的剧情片, 上映, 巨人传)
(巨人传, 讲述, 两男一女的三角恩怨)
(国王与我, 改编, 自山田朝子同名人气漫画)
(香港, 导演, 胡明凯)
(生死恋, 系, 吴宇森执导的太平轮系列电影上集)
(台湾, 医生, 颜泽坤)
( 生死恋, 取得, 2亿元的票房)
(约翰·福特|梅尔文·勒罗伊乔舒亚·洛根, 执导, 罗伯茨先生1955年7月30日上映的美国战争喜剧片)
(亨利·方达|詹姆斯·卡格尼威廉·鲍威尔, 出演, 罗伯茨先生1955年7月30日上映的美国战争喜剧片)
(罗伯茨先生, 讲述, 二战时期)
(韩国, 导演, 朴赞郁)
(伊利亚·卡赞, 执导, 码头风云)
(马龙·白兰度等|卡尔·马尔登爱娃·玛丽·森特罗德·斯泰格尔主演的剧情片, 上映, 码头风云)
(码头风云, 讲述, 码头装卸工人特里·马洛伊为了揭发码头老板的罪行以及替工人们伸张正义|联手|大学生伊蒂·多伊尔|和牧师巴里发起反抗的故事|2)
(爱德华·迪麦特雷克, 执导, 叛舰凯恩号)
(亨弗莱·鲍嘉等|何塞·费勒范·强生弗莱德·麦克莫瑞联合的|出演战争剧情片, 上映, 叛舰凯恩号)
(GeorgeSeaton, 执导, 乡下姑娘)
(乡下姑娘, 讲述, 一名酗酒的名歌星在医生的|与妻子帮助下重新振作起来|东山再起的故事)
(乡下姑娘, 获得, 1955年奥斯卡最佳女主角|最佳改编剧本两项金像奖)
(罗马之恋以罗马城中被称为少女喷泉的特雷维喷泉, 为, 背景)
(罗马之恋以罗马城中被称为少女喷泉的特雷维喷泉, 叙述, 三位来自美国的女郎追求幸福爱情的故事)
(乱世忠魂, 讲述, 一名美国拳击手在美军夏威夷军营服役期间发生在军队内部种种丑闻的|和黑暗现象故事)
(乌利·艾德, 执导, 凯撒大帝)
(克里斯托弗·沃肯主演的剧情电影, 上映, 凯撒大帝)
(凯撒大帝, 讲述, 凯撒大帝|与埃及艳后克莉欧佩特的惊世情爱纠葛的故事)
(圣袍, 讲述, 一个监督将耶稣钉在十字架上的护民官)
(圣袍, 了解, 神的旨意)
(罗马假日|RomanHoliday1953年由美国派拉蒙公司拍摄的浪漫爱情片, 讲述, 一位欧洲某公国的公主|与一个美国记者之间在意大利罗马一天之内发生的浪漫故事)
(乔治·斯蒂文斯, 执导, 原野奇侠派拉蒙影片公司出品的西部剧情片)
(艾伦·拉德等|琪恩·亚瑟凡·赫夫林, 出演, 原野奇侠派拉蒙影片公司出品的西部剧情片)
(原野奇侠, 讲述, 牛仔肖恩帮助击退当地恶徒故事的)
(原野奇侠, 入围, 第26届奥斯卡金像奖最佳电影等|最佳剧本奖项)
(陈庆嘉, 执导, 戏王之王一部)
(蔡卓妍|詹瑞文主演的喜剧电影, 上映, 戏王之王一部)
(美国克莱默斯坦利电影, 制作, 正午)
(正午, 讲述, 一名小镇警长在无法寻得助手之下|只身对抗四个前来的|报仇恶徒故事|2)
(巴兹·鲁赫曼, 执导, 红磨坊)
(蓬门今始为君开中约翰？韦恩, 扮演, 一个美国重量级拳王)
(蓬门今始为君开中约翰？韦恩, 退出, 拳坛)
(一个美国人在巴黎米高梅电影公司, 出品, 文森特·明奈利导演的歌舞片)
(一个美国人在巴黎, 讲述, 美国画家杰瑞与巴黎女郎丽丝相爱)
(美国, 画家, 杰瑞)
(巴黎, 女郎, 丽丝)
(血战莱茵河由安纳托尔·李维克执导的剧情战争片, 参加, 演出)
(血战莱茵河, 讲述, 第二次大战役进入最后阶段|德国一片废墟缺乏了解德国莱茵河对面的重要业务单位|并决定派收集资料的冒险计划)
(郎心似铁乔治·史蒂文斯, 执导, 伊丽莎白等|泰勒|蒙哥马利·克利夫特主演的爱情片)
(郎心似铁, 讲述, 乡下穷孩子乔治来到城市|来投|靠叔叔)
(美国, 出品, 暴君焚城录)
(梅尔文·勒罗伊, 执导, 暴君焚城录由美国出品的剧情类电影)
(罗伯特·泰勒等|黛博拉·蔻儿参与演出1 |暴君焚城录, 上映, 暴君焚城录由美国出品的剧情类电影)
( 影片的时代背景古罗马帝国时代, 讲述, 荒淫的|无耻昏君尼罗王的种种行为导致罗马民众纷纷反抗暴君|最后整个罗马城陷入一片火海的故事)
(荒淫的|无耻昏君尼罗王的种种行为, 导致, 罗马民众纷纷反抗暴君)
(最后整个罗马城, 陷入, 一片火海的故事)
(罗马民众, 反抗, 暴君)
(最后整个罗马城, 陷入, 一片火海的故事)
( 欲望号街车, 讲述, 徐娘半老风味犹存的南部美女布兰奇因适当的行为被解除家庭教师职务后来到新奥尔良的|投靠妹妹故事)
(约瑟夫·L曼凯维奇, 执导, 彗星美人20世纪福克斯电影公司出品的剧情片)
(彗星美人, 讲述, 好莱坞舞台生活的内幕)
(彗星美人, 获得, 第23届奥斯卡奖最佳影片等|最佳导演最佳男配角6项奖项)
(彗星美人, 获得, 14项奥斯卡提名)
(绛帐海堂春, 讲述, 一名无知的大亨黑市夫人跟一名作家补习知识|在老师的巧妙教导下对个人的|和环境看法她有了极大转变|最后她挣离大亨的控制|与老师一同开创新的前程)
(她, 有, 极大转变)
(她, 有, 极大转变)
(她, 挣离, 大亨)
(所罗门王宝藏RobertStevenson导演的电影, 参加, 演出)
(比利·怀尔德, 执导, 日落大道)
(日落大道, 获得, 第23届奥斯卡金像奖最佳改编剧本等|第8届美国金球奖剧情类最佳影片奖项|2-3)
(罗伯特·罗森, 执导, 当代奸雄)
(布罗德里克·克劳福等|约翰·爱尔兰主演的剧情片, 上映, 当代奸雄)
(当代奸雄, 改编自, 罗伯特·潘·华伦的小说国王的手下)
(当代奸雄, 获得, 第22届奥斯卡奖最佳影片|第7届美国金球奖剧情类最佳影片奖|1)
(战场, 讲述, 世界大战末期在比利时巴斯托涅镇的德军|与美军发生遭遇战的故事)
(威廉·惠勒, 执导, 女继承人)
(哈佛兰|蒙哥马利·克利夫特主演的剧情片, 上映, 女继承人)
(女继承人, 改编自, 舞台剧华盛顿广场)
(男友, 贪图, 她的财产)
(外表帅气, 年轻人, 莫里斯·汤森)
(三个年轻的妻子, 告诉, 说她们中的某一个丈夫跟她跑了之后三个妻子各自的反应)
(亨利·金, 执导, 晴空血战史)
(晴空血战史, 讲述, 二战时期)
(莎士比亚, 戏剧, 哈姆雷特)
(丹麦, 王子, 哈姆雷特)
( 王子复仇记, 获得, 第21届美国奥斯卡金像奖最佳影片奖)
(心声泪影, 讲述, 有口难言的痛苦)
(迈克尔·鲍威尔|艾默力·皮斯伯格, 执导, 红菱艳)
(莫伊拉·希勒|安东·沃尔布鲁克马留斯·戈尔林主演的歌舞爱情电影, 上映, 红菱艳)
(红菱艳, 讲述, 爱舞如命的芭蕾舞女演员佩姬在事业|与爱情之间痛苦徘徊)
(她, 做出, 艰难的|抉择故事)
(她, 做出, 艰难的|抉择故事)
(碧血金沙, 讲述, 20年代的墨西哥)
(伊利亚·卡赞, 执导, 君子协定)
(格利高里·派克|桃乐茜·麦姬尔主演的剧情片, 上映, 君子协定)
(君子协定, 视为, 背景)
(君子协定, 讲述, 白人作家菲尔·格林为了撰写一系列关于反犹主义的文章|于假扮成犹太人|去切身体会他们的处境并逐步改变自己对犹太人看法的故事|1)
(君子协定, 获得, 第20届奥斯卡金像奖最佳影片奖|2)
(英格立·亭科瓦, 主演, 仁慈天使)
(AlexChandon, 执导, 双雄斗智2001年上映的英国惊悚电影)
(双雄斗智, 讲述, 康泊个病态的连环杀手)
(该剧, 讲述, 洪三元初来上海|追求自己的远大前程)
(洪三元初, 追求, 自己的远大前程)
(许鞍华, 执导, 黄金时代)
(民国传奇, 女作家, 萧红)
(德里克·雅各比等|肯尼思·布拉纳, 主演, 亨利五世肯尼思·布拉纳执导的传记片)
(亨利五世, 上映, 亨利五世肯尼思·布拉纳执导的传记片)
(亨利五世, 描写, 年轻的英格兰国王)
(弗兰克·卡普拉, 执导, 生活多美好)
(美国电影学会, 评选, 生活多美好为百年百部励志电影榜首)
(ShaneBlack, 执导, 刀锋)
(马克斯·马蒂尼|和瑞安·柯万腾|出演的西部片, 上映, 刀锋)
(刀锋, 讲述, 一位曾经担任警长的牛仔用自己的方式在荒芜的西部土地上主持正义)
(米高梅公司, 发行, 鹿苑长春)
(1946年12月18日, 发行, 鹿苑长春)
(克拉伦斯·布朗, 执导, 鹿苑长春由米高梅公司于1946年12月18日发行的一部剧情片)
(格利高里·派克等|简·惠曼小克劳德·贾曼人, 主演, 鹿苑长春由米高梅公司于1946年12月18日发行的一部剧情片)
(鹿苑长春, 改编, 同名儿童题材小说)
(鹿苑长春, 改编自, 美国作家罗琳斯的)
(美国, 作家, 罗琳斯)
(比利·怀尔德, 执导, 失去的周末)
(雷·米兰德|简·惠曼主演的剧情片, 上映, 失去的周末)
(失去的周末改编自查尔斯·杰克逊的同名小说, 讲述, 一个身心备受煎熬的酒鬼在女友海伦的帮助下最终重新燃起希望的故事|1)
(失去的周末, 获得, 第18届奥斯卡最佳影片|第3届美国金球奖剧情类最佳影片等奖项|2-3)
(圣玛丽的钟声, 讲述, 欧曼力牧师的|波迦德斯先生医生|和修女们改变了波迦德斯的想法|他同意将新建的大楼捐给学校的故事)
(托德·海因斯, 执导, 欲海情魔)
(凯特·温丝莱特等|布莱恩·F奥博恩埃文·蕾切尔·伍德主演的爱情片, 上映, 欲海情魔)
(爱德华大夫, 上映, 美国好莱坞早期黑白影片|悬疑片)
(影片, 讲述, 女心理医生与一位假冒爱德华大夫的英俊精神障碍患者相爱了|有关心理分析的惊险故事)
(爱德华大夫电影史上第一批以精神分析学为主题的影片之一, 获得, 第十八届奥斯卡最佳戏剧片|和最佳原创音乐奖)
(莱奥·麦卡雷, 执导, 与我同行)
(平·克劳斯贝|巴里·菲茨杰拉德主演的剧情片, 上映, 与我同行)
(与我同行, 讲述, 欧曼尼神父巧妙地改变老神父基思对自己的看法以后又通过自己的音乐才华为教堂募集到重建基金的故事|1)
(1945年与我同行, 获得, 第17届奥斯卡金像奖最佳影片奖|2)
(双重赔偿, 派, 出品的)
(比利·怀尔德, 执导, 双重赔偿派出品的犯罪片)
(弗莱德·麦克莫瑞|芭芭拉·斯坦威克, 主演, 双重赔偿派出品的犯罪片)
(双重赔偿, 改编自, 詹姆斯M凯恩的同名小说)
(双重赔偿, 获得, 第17届奥斯卡金像奖最佳影片提名|2)
(乔治·库克, 执导, 煤气灯下)
(查尔斯·博耶等|英格丽·褒曼约瑟夫·科顿主演的惊悚电影,  , 煤气灯下)
(煤气灯下, 改编自, 舞台剧天使街)
(自君别后, 讲述, 世界大战期间在战争中美国一个中产阶级家庭遭受的不幸)
(秀兰·邓波儿|和珍妮弗·琼斯, 饰演, 她的两个女儿)
(秀兰·邓波儿|和珍妮弗·琼斯, 饰演, 她的两个女儿)
(自君别后米高梅公司摄制的忠勇之家一片的姐妹篇, 获, 奥斯卡金像奖最佳戏剧片|和喜剧片音乐奖及最佳影片提名|2)
(威尔逊总统传, 讲述, 威尔逊总统的生平故事)
(迈克尔·柯蒂斯, 执导, 卡萨布兰卡由华纳兄弟影片公司出品的爱情电影)
(卡萨布兰卡, 获得, 最佳影片|最佳导演最佳剧本三项奖项|1)
(山姆·伍德, 执导, 战地钟声)
(加里·库珀等|英格丽·褒曼阿基姆·坦米罗夫主演的战争爱情片, 上映, 战地钟声)
(战地钟声, 为, 背景)
(战地钟声, 讲述, 美国反法西斯战士罗伯特·乔登|和市长之女玛丽亚之间的爱情故事|2)
(美国, 反法西斯战士, 罗伯特·乔登)
(天堂可以等待, 获得, 奥斯卡最佳影片)
(尚品电影, 出品, 人间喜剧)
(陈庆嘉|秦小珍, 执导, 人间喜剧)
(与祖国同在, 进行, 爱国主义宣传的著名的纪录性故事片)
(房东小姐, 讲述, 房客男子爱上了房东小姐的故事)
(房客男子, 爱上, 房东小姐的故事)
( 黄牛惨案, 讲述, 由于大牧主拉莱·金凯的两个牧工阿特·克罗夫特的|与杰尔卡特无知不分清红道白|就冤枉杀死三个人的故事)
(大牧主拉莱·金凯, 个牧工, 阿特·克罗夫特)
(圣女之歌, 讲述, 1858年)
(她, 得到, 启示)
(她, 得到, 启示)
(她, 变成, 朝圣地故事)
(14岁, 女孩, 伯纳戴特)
(威廉·惠勒, 执导, 忠勇之家米高梅公司出品的战争片)
(忠勇之家, 为, 背景)
(忠勇之家, 讲述, 英国伦敦郊外的一户中产阶级家庭在战争中如何保卫家园的故事)
(魔影袭人来, 获得, 1943年奥斯卡最佳剧本奖)
(陈文, 执导, 金石盟)
( 金石盟, 讲述, 一对恋人)
(扬基的骄傲, 讲述, 1939年他的著名的告别演讲幸运的人)
(梅尔文·勒罗伊, 执导, 鸳梦重温)
(罗纳德·考尔曼|葛丽亚·嘉逊主演的爱情片, 上映, 鸳梦重温)
(鸳梦重温, 讲述, 波拉|与失去记忆的查理斯相爱|并结婚)
(鸳梦重温, 获得, 第15届奥斯卡奖最佳影片提名|2)
(小镇话语, 讲述, 狄尔格越狱|逃脱受伤后闯入了一位女教师诺拉的家里后发生的故事)
(一位, 女教师, 诺拉)
(SteveHoefer, 执导, 胜利之歌尼克儿童频道新推出的一部青春喜剧)
(VictoriaJustice, 主演, 胜利之歌尼克儿童频道新推出的一部青春喜剧)
(出色的歌手ToriVega|VictoriaJustice饰, 进入, 她姐姐的学校好莱坞艺术学院之后的生活故事)
(约翰·福特, 执导, 青山翠谷)
(沃尔特·皮金等|玛琳·奥哈拉主演的剧情片, 上映, 青山翠谷)
(青山翠谷, 改编自, 英国小说家李察·勒埃林的同名小说)
(英国, 小说家, 李察·勒埃林)
(青山翠谷, 获得, 第14届奥斯卡奖最佳影片奖|2)
(梅尔文·勒罗伊, 执导, 落花飘零)
(落花飘零, 讲述, 恩德娜|和德克善·山姆·格拉得尼结婚后有了一个儿子|不幸的他们的儿子在小的时候就在一件事件中死去的故事)
(太虚道人著名导演亚历山大·赫尔, 拍摄, 奇幻爱情电影)
(派拉蒙影业公司, 制作, 良宵苦短)
(米切尔·莱森, 执导, 良宵苦短)
(良宵苦短, 讲述, 罗马尼亚法国混血儿乔治一直很厌倦自己作为妓男身份的|他幻想|有一天|能去美国|加入美国国籍停止在墨西哥做男妓的可悲生涯的故事)
(罗马尼亚法国, 混血儿, 乔治)
(罗马尼亚法国, 混血儿, 乔治)
(小狐狸, 出品, 美国电影)
(小狐狸讲述的一个小女孩, 受到, 各方面的打击)
(小狐狸讲述的一个小女孩, 导致, 精神方面出现异常的故事)
(她好的朋友安妮, 背叛, 她)
(约翰·休斯顿, 执导, 马耳他之鹰华纳兄弟影片公司出品的剧情片)
(阿尔弗雷德·希区柯克, 执导, 深闺疑云|Suspicion)
(加里·格兰特|琼·芳登主演的惊悚悬疑电影, 上映, 深闺疑云|Suspicion)
(深闺疑云, 讲述, 丽娜婚后发现丈夫约翰尼的种种恶习|加上身边的人不断离奇死亡让开始怀疑丈夫就制造一系列悲剧的凶手|而很可能就自己下一个受害者|1)
(阿尔弗雷德·希区柯克, 执导, 蝴蝶梦塞尔兹尼克国际影片公司出品的悬疑片)
(蝴蝶梦, 讲述, 一个年轻女子嫁入豪门后发现丈夫的前妻丽贝卡的阴魂笼罩在豪宅中)
(蝴蝶梦, 获得, 第13届奥斯卡最佳影片|以及最佳摄影奖|1)
(卿何遵命, 讲述, 女孩亨丽改名|换姓在美国的一所神学院当上了法语教师她却被揭发|她帮助谋杀了他的妻子的故事)
(她, 帮助, 她)
(她, 帮助, 谋杀了他的妻子的故事)
(海外特派员, 讲述, 一位被派往欧洲的美国战地记者在荷兰被卷进了一个错综复杂的刺杀阴谋的故事)
(20世纪福克斯电影公司, 出品, 愤怒的葡萄)
(约翰·福特, 执导, 愤怒的葡萄)
( 愤怒的葡萄, 改编自, 美国作家斯坦贝克的同名小说)
(美国, 作家, 斯坦贝克)
(美国国会图书馆的美国国家电影登记处, 列为, 大独裁者)
(韩剧花嫁, 名, 女人万岁)
(香笺泪, 讲述, 女主人蓓蒂·戴维丝将来访的朋友大卫开枪打死|而引发的一系列事件)
(乔纳森·戴米, 执导, 费城故事)
(汤姆·汉克斯|丹泽尔·华盛顿主演的剧情片, 上映, 费城故事)
(费城故事, 讲述, 安德鲁因为染上艾滋病|而被老板解雇后来他在乔的帮助下为爱滋病人争取权益的故事|1)
(影片, 讲述, 主人公斯嘉丽·奥哈拉|与白瑞德之间一段跌宕起伏的爱情故事)
(乱世佳人, 获得在, 包括最佳影片|最佳导演最佳女主角在内十个奖项)
( 黑暗的胜利, 讲述, 一名倔强的社交名媛|和脑科大夫乔治·布伦特之间的故事)
(一名, 倔强社交名媛, 乔治·布伦特)
(万世师表, 讲述, 一个普通人的普通一生的故事)
(万世师表, 获, 包括最佳影片|最佳导演最佳男女主角在内6项提名)
(万世师表, 获得, 金像奖最佳男主角)
(GlennGordonCaron, 执导, 爱情事件1994年上映的美国爱情喜剧片)
(爱情事件, 讲述, 迈克|与特丽在飞行途中邂逅|一见钟情的故事)
(弗兰克·卡普拉, 执导, 史密斯先生到华盛顿)
(詹姆斯·斯图尔特琪恩·亚瑟主演的喜剧电影, 上映, 史密斯先生到华盛顿)
(史密斯先生到华盛顿, 讲述, 热血青年史密斯从小镇来到华盛顿|他淳朴的灵魂与虚伪的世界产生矛盾最终为了决心|2)
(妮诺契卡, 讲述, 苏|俄女干部妮诺奇嘉前往巴黎|调查)
(妮诺契卡, 置身, 思想解冻)
(苏, |俄女干部, 妮诺奇嘉)
(刘易斯·迈尔斯通LewisMilestone, 执导, 人鼠之间出品的剧情电影)
( 人鼠之间, 讲述, 打零工为生的农场工人George|与Lennie在小庄园里生活的故事)
(关山飞渡约翰·福特执导的西部黑白动作影片, 参加, 主演)
(关山飞渡, 改编自, 莫泊桑的短篇小说羊脂球)
(绿野仙踪, 以为, 王健编剧由北京光影奇迹影视文化有限公司备案|并拍摄的一部仙侠类电影)
(呼啸山庄, 讲述, 青梅竹马|各奔东西卡瑟琳凄然早逝后希克利的一腔深情化成满腹怨恨|对周围所有的人展开疯狂的报复的故事)
(呼啸山庄, 主人的, 卡瑟琳)
(小台|和小英国中同学, 寄给, 她)
(罗宾汉历险记, 讲述, 十二世纪英国狮心王李察统治期间罗宾汉受到迫害|落草为寇|劫富济贫成为广受尊崇的侠盗|并与邪恶王子展开了生死决斗的故事|4)
(英国, 狮心王, 李察)
(诺曼·陶罗格, 执导, 孤儿乐园)
(孤儿乐园, 讲述, 腓纳根神父自筹资金|建立了一个失足青少年的小天地孤儿乐园神父为了这些可怜|可爱的孩子不惜牺牲自己的时间|和心血|将一腔热情|和关爱都献给了他们的故事)
(腓纳根神父, 建立, 一个失足青少年的小天地孤儿乐园)
(让·雷诺阿, 执导, 大幻影)
(让·迦本|埃立克·冯·斯特劳亨皮埃尔·弗雷内主演的战争电影, 上映, 大幻影)
(大幻影, 为, 背景)
(大幻影, 讲述, 德军俘虏后与德国人之间的复杂关系)
(威廉·惠勒, 执导, 红衫泪痕)
(红衫泪痕, 讲述, 在19世纪50年代的路易斯安那州因为她顽固的虚荣心|和骄傲而一个南方美女失去了她的未婚夫|并发誓要把他赢回来的故事)
(一个南方美女, 失去, 她的未婚夫)
(早期的飞机设计者, 充当, 试飞员)
(美国华纳兄弟公司, 出品, 左拉传)
(威廉·迪亚特尔, 执导, 左拉传)
(左拉传, 讲述, 法国作家左拉从穷困|潦倒|以及他为了不屈不挠的|作斗争故事|2)
(法国, 作家, 左拉)
(莱奥·麦卡雷, 执导, 春闺风月)
(加里·格兰特等|艾琳·邓恩和拉尔夫·贝拉米主演的喜剧爱情片, 上映, 春闺风月)
(春闺风月, 讲述, 杰瑞|和露希·华瑞纳这对夫妇之间的故事)
(维克托·弗莱明, 执导, 怒海余生)
(诺贝尔, 得主, 罗德亚德·吉普林)
(英国, 外交官, 康威)
(二次大战, 位英国外交官, 康威)
(她, 相信, 只有这样雇用这些人|吸引了著名的指挥带领乐团)
(她, 套, 一个任务卷轴)
(她, 设法, 安排一个在利奥波德Stowkowski家即兴演奏会)
(她, 找到, 一个剧团的赞助商)
(乔治·库克, 执导, 一个明星的诞生)
(罗伯特·伦纳德, 执导, 歌舞大王齐格飞)
(威廉·鲍威尔等|玛娜·洛伊路易丝·赖纳主演的歌舞爱情片, 上映, 歌舞大王齐格飞)
(歌舞大王齐格飞, 讲述, 佛罗伦斯·齐格飞从一个杂耍艺人成为齐格飞歌舞团创始人的传奇经历|以及他的|和两任妻子爱情故事|1)
(风流世家, 讲述, 安东尼西班牙贵族的私生子)
(假戏真做, 讲述, 报社编辑利用他的未婚妻|和前任记者|去调查|一名暴躁的女继承人到底继承了多少财产故事|而引发的)
(一名暴躁的女继承人, 继承, 多少财产故事)
(迪兹先生进城, 讲述, 迪兹先生继承了巨额遗产后克服了重重困难|将财产全部分发给穷人的故事|1)
(意大利, 导演, 卡罗·卡雷)
(意大利导演卡罗·卡雷, 执导, 罗密欧与朱丽叶)
(罗密欧与朱丽叶, 改编自, 罗密欧与朱丽叶)
